timestamp,job_0,job_1
1764139818,7421165568,0
1764139823,12154437632,0
1764139828,11806310400,0
1764139833,15855910912,0
1764139842,15855910912,0
1764139847,15855910912,0
1764139851,15855910912,0
1764139860,15855910912,0
1764139866,15855910912,0
1764139871,15855910912,0
1764139881,15855910912,0
1764139887,12651462656,0
1764139892,12651462656,0
1764139901,15948185600,0
1764139905,15948185600,0
1764139910,15948185600,0
1764139919,15948185600,0
1764139924,15948185600,0
1764139945,0,9354739712
1764139950,0,12620005376
1764139956,0,12649365504
1764139961,0,12649365504
1764139969,0,12649365504
1764139975,0,13473546240
1764139980,0,13473546240
1764139990,0,13473546240
1764139995,0,13473546240
1764140000,0,13473546240
1764140009,0,13473546240
1764140014,0,13473546240
1764140019,0,13473546240
1764140028,0,13473546240
1764140033,0,13473546240
1764140038,0,13473546240
1764140047,0,13473546240
1764140075,13001687040,0
1764140084,13815382016,0
1764140089,13840547840,0
1764140093,13840547840,0
1764140102,13840547840,0
1764140107,13840547840,0
1764140112,13840547840,0
1764140197,0,16887709696
1764140205,0,16887709696
1764140211,0,13771341824
1764140216,0,13771341824
1764140224,0,13771341824
1764140229,0,13771341824
1764140234,0,13771341824
