timestamp,small_job_0,small_job_1,small_job_2,small_job_3,medium job
1764123721,0,0,0,0,8459255808
1764123724,0,0,0,0,11120541696
1764123728,0,0,0,0,11124736000
1764123731,0,0,0,0,11124736000
1764123741,0,0,0,0,11133124608
1764123745,0,0,0,0,11133124608
1764123748,0,0,0,0,11133124608
1764123764,0,0,0,0,11133124608
1764123767,0,0,0,0,11133124608
1764123771,0,0,0,0,11133124608
1764123808,9086304256,0,0,0,0
1764123812,13643415552,0,0,0,0
1764123817,12160729088,0,0,0,0
1764123822,12160729088,0,0,0,0
1764123830,12148146176,0,0,0,0
1764123835,13754564608,0,0,0,0
1764123840,13754564608,0,0,0,0
1764123849,13754564608,0,0,0,0
1764123854,13754564608,0,0,0,0
1764123859,13754564608,0,0,0,0
1764123868,13754564608,0,0,0,0
1764123888,0,9392488448,0,0,0
1764123893,0,12655656960,0,0,0
1764123899,0,12655656960,0,0,0
1764123904,0,12655656960,0,0,0
1764123911,0,12655656960,0,0,0
1764123916,0,12655656960,0,0,0
1764123920,0,12655656960,0,0,0
1764123929,0,12655656960,0,0,0
1764123935,0,15952379904,0,0,0
1764123940,0,15952379904,0,0,0
1764123949,0,15952379904,0,0,0
1764123968,0,0,9019195392,0,0
1764123973,0,0,16780754944,0,0
1764123978,0,0,16780754944,0,0
1764123983,0,0,12167020544,0,0
1764123991,0,0,15463743488,0,0
1764123996,0,0,15463743488,0,0
1764124002,0,0,15463743488,0,0
1764124011,0,0,15463743488,0,0
1764124016,0,0,15488909312,0,0
1764124021,0,0,15488909312,0,0
1764124030,0,0,15488909312,0,0
1764124048,0,0,0,9262465024,0
1764124053,0,0,0,12343181312,0
1764124059,0,0,0,15614738432,0
1764124064,0,0,0,15614738432,0
1764124071,0,0,0,15614738432,0
1764124076,0,0,0,15614738432,0
1764124081,0,0,0,15614738432,0
1764124091,0,0,0,13171556352,0
1764124097,0,0,0,13171556352,0
1764124102,0,0,0,16468279296,0
1764124134,0,0,0,0,12074745856
1764124138,0,0,0,0,12269780992
1764124142,0,0,0,0,12269780992
1764124157,0,0,0,0,12269780992
1764124161,0,0,0,0,12269780992
1764124164,0,0,0,0,12269780992
1764124178,0,0,0,0,12269780992
1764124181,0,0,0,0,12269780992
1764124185,0,0,0,0,12269780992
1764124220,16701063168,0,0,0,0
1764124226,13825867776,0,0,0,0
1764124235,13825867776,0,0,0,0
1764124240,13825867776,0,0,0,0
1764124245,17097424896,0,0,0,0
1764124254,17097424896,0,0,0,0
1764124259,17097424896,0,0,0,0
1764124264,17097424896,0,0,0,0
1764124274,17097424896,0,0,0,0
1764124300,0,12234129408,0,0,0
1764124306,0,16319381504,0,0,0
1764124314,0,16319381504,0,0,0
1764124319,0,16319381504,0,0,0
1764124324,0,16319381504,0,0,0
1764124333,0,16319381504,0,0,0
1764124339,0,16319381504,0,0,0
1764124344,0,16319381504,0,0,0
1764124353,0,16319381504,0,0,0
1764124358,0,16319381504,0,0,0
1764124382,0,0,16818503680,0,0
1764124387,0,0,16680091648,0,0
1764124397,0,0,16680091648,0,0
1764124401,0,0,16680091648,0,0
1764124406,0,0,16680091648,0,0
1764124416,0,0,13429506048,0,0
1764124422,0,0,13429506048,0,0
1764124427,0,0,13429506048,0,0
1764124436,0,0,13429506048,0,0
1764124459,0,0,0,10304749568,0
1764124464,0,0,0,15044313088,0
1764124470,0,0,0,12825526272,0
1764124479,0,0,0,12825526272,0
1764124484,0,0,0,12825526272,0
1764124489,0,0,0,12825526272,0
1764124497,0,0,0,12850692096,0
1764124502,0,0,0,12850692096,0
1764124507,0,0,0,12850692096,0
1764124517,0,0,0,12850692096,0
1764124547,0,0,0,0,12640976896
1764124551,0,0,0,0,12651462656
1764124554,0,0,0,0,12661948416
1764124568,0,0,0,0,12664045568
1764124572,0,0,0,0,12664045568
1764124575,0,0,0,0,12664045568
1764124590,0,0,0,0,12664045568
1764124593,0,0,0,0,12666142720
1764124597,0,0,0,0,12666142720
1764124633,11716132864,0,0,0,0
1764124642,16451502080,0,0,0,0
1764124647,16451502080,0,0,0,0
1764124652,13681164288,0,0,0,0
1764124710,0,13964279808,0,0,0
1764124719,0,12909412352,0,0,0
1764124724,0,17021927424,0,0,0
1764124729,0,17021927424,0,0,0
1764124779,0,0,13651804160,0,0
1764124784,0,0,16831086592,0,0
1764124793,0,0,13117030400,0,0
1764124798,0,0,13117030400,0,0
1764124803,0,0,13934919680,0,0
1764124855,0,0,0,14190772224,0
1764124860,0,0,0,14945746944,0
1764124869,0,0,0,13460963328,0
1764124874,0,0,0,14241103872,0
1764124879,0,0,0,16294215680,0
1764124933,0,0,0,0,12332695552
1764124937,0,0,0,0,12722765824
1764124940,0,0,0,0,12722765824
1764124954,0,0,0,0,12722765824
1764124958,0,0,0,0,12722765824
1764124961,0,0,0,0,12722765824
1764124976,0,0,0,0,12722765824
1764124979,0,0,0,0,12722765824
1764124983,0,0,0,0,12726960128
