timestamp,small job 1,small job 2,small job 3,medium job
1764452429,0,8645902336,0,0
1764452434,0,14377418752,0,0
1764452438,0,12225740800,0,0
1764452443,0,15488909312,0,0
1764452450,0,15488909312,0,0
1764452455,0,15488909312,0,0
1764452460,0,12903120896,0,0
1764452467,0,16191455232,0,0
1764452472,0,16191455232,0,0
1764452477,0,12915703808,0,0
1764452484,0,12915703808,0,0
1764452506,0,0,8620736512,0
1764452511,0,0,13089767424,0
1764452516,0,0,16361324544,0
1764452521,0,0,16361324544,0
1764452528,0,0,13408534528,0
1764452534,0,0,16696868864,0
1764452539,0,0,16696868864,0
1764452546,0,0,16696868864,0
1764452551,0,0,16696868864,0
1764452556,0,0,16696868864,0
1764452563,0,0,16696868864,0
1764452589,0,0,16449404928,0
1764452597,0,0,16449404928,0
1764452602,0,0,16512319488,0
1764452607,0,0,16512319488,0
1764452614,0,0,16512319488,0
1764452619,0,0,16512319488,0
1764452624,0,0,16512319488,0
1764452631,0,0,16512319488,0
1764452637,0,0,13278511104,0
1764452642,0,0,13278511104,0
1764452666,0,0,14645854208,0
1764452671,0,0,13628735488,0
1764452677,0,0,13628735488,0
1764452744,0,12433358848,0,0
1764452751,0,13257539584,0,0
1764452756,0,13257539584,0,0
1764452761,0,13257539584,0,0
1764452769,0,14052360192,0,0
1764452774,0,14052360192,0,0
1764452779,0,14075428864,0,0
1764452787,0,14075428864,0,0
1764452792,0,14075428864,0,0
1764452798,0,14075428864,0,0
1764452820,8780120064,0,0,0
1764452825,16329867264,0,0,0
1764452830,12622102528,0,0,0
1764452836,15876882432,0,0,0
1764452843,13158973440,0,0,0
1764452848,13179944960,0,0,0
1764452853,13179944960,0,0,0
1764452861,13179944960,0,0,0
1764452866,13179944960,0,0,0
1764452870,13179944960,0,0,0
1764452878,13179944960,0,0,0
1764452899,12502564864,0,0,0
1764452905,15782510592,0,0,0
1764452912,15782510592,0,0,0
1764452917,15782510592,0,0,0
1764452922,15782510592,0,0,0
1764452929,15782510592,0,0,0
1764452934,15807676416,0,0,0
1764452940,13362397184,0,0,0
1764452947,14157217792,0,0,0
1764452952,13077184512,0,0,0
1764452957,13888782336,0,0,0
1764452976,0,0,0,8398438400
1764452979,0,0,0,10560602112
1764452982,0,0,0,10768220160
1764452985,0,0,0,10768220160
1764452994,0,0,0,10768220160
1764452997,0,0,0,10768220160
1764453001,0,0,0,10768220160
1764453013,0,0,0,10768220160
1764453017,0,0,0,10768220160
1764453020,0,0,0,10973741056
1764453030,0,0,0,10973741056
1764453033,0,0,0,10973741056
1764453037,0,0,0,10973741056
1764453076,14129954816,0,0,
1764453081,13794410496,0,0,
1764453086,13794410496,0,0,
1764453151,0,0,0,12445941760
1764453154,0,0,0,12445941760
1764453157,0,0,0,12445941760
1764453166,0,0,0,12445941760
1764453169,0,0,0,12445941760
1764453173,0,0,0,12445941760
1764453182,0,0,0,12445941760
1764453185,0,0,0,12445941760
1764453189,0,0,0,12445941760
1764453200,0,0,0,12445941760
1764453204,0,0,0,12445941760
1764453232,0,0,0,10724179968
1764453241,0,0,0,12326404096
1764453244,0,0,0,12534022144
1764453248,0,0,0,12534022144
1764453258,0,0,0,12534022144
1764453261,0,0,0,12534022144
1764453265,0,0,0,12534022144
1764453275,0,0,0,12534022144
1764453278,0,0,0,12534022144
1764453281,0,0,0,12534022144
1764453392,0,0,0,12137660416
1764453395,0,0,0,12137660416
1764453399,0,0,0,12141854720
1764453407,0,0,0,12141854720
1764453410,0,0,0,12146049024
1764453414,0,0,0,12146049024
1764453425,0,0,0,12146049024
1764453429,0,0,0,12146049024
1764453433,0,0,0,12146049024
1764453444,0,0,0,12146049024
1764453448,0,0,0,12146049024
1764453479,0,0,0,12433358848
1764453488,0,0,0,12634685440
1764453491,0,0,0,12634685440
1764453494,0,0,0,12636782592
1764453511,0,0,0,12636782592
1764453514,0,0,0,12636782592
1764453517,0,0,0,12636782592
1764453527,0,0,0,12638879744
1764453531,0,0,0,12640976896
1764453534,0,0,0,12645171200
