timestamp,small job,medium job
1764122894,0,8467644416
1764122897,0,10942283776
1764122900,0,10942283776
1764122904,0,10942283776
1764122914,0,10942283776
1764122917,0,10942283776
1764122920,0,10942283776
1764122936,0,10942283776
1764122939,0,10942283776
1764122942,0,10942283776
1764122956,0,10942283776
1764122960,0,10942283776
1764122963,0,10942283776
1764122976,0,10942283776
1764122980,0,10942283776
1764122983,0,10942283776
1764122997,0,10942283776
1764123001,0,10942283776
1764123004,0,10942283776
1764123019,0,10942283776
1764123023,0,10942283776
1764123027,0,10942283776
1764123039,0,10942283776
1764123042,0,10942283776
1764123046,0,10942283776
1764123062,0,10942283776
1764123066,0,10942283776
1764123069,0,10942283776
1764123107,9262465024,0
1764123112,12395610112,0
1764123117,12395610112,0
1764123123,12517244928,0
1764123130,15813967872,0
1764123135,15813967872,0
1764123140,15813967872,0
1764123149,15813967872,0
1764123154,15813967872,0
1764123159,15813967872,0
1764123169,15813967872,0
1764123174,15813967872,0
1764123179,15813967872,0
1764123187,15813967872,0
1764123193,15813967872,0
1764123198,15813967872,0
1764123206,15813967872,0
1764123211,15813967872,0
1764123216,15813967872,0
1764123225,15813967872,0
1764123230,15813967872,0
1764123235,15813967872,0
1764123245,15813967872,0
1764123250,15813967872,0
1764123255,15813967872,0
1764123313,0,12741640192
1764123316,0,12747931648
1764123319,0,12949258240
1764123334,0,12949258240
1764123337,0,12949258240
1764123341,0,12949258240
1764123356,0,12949258240
1764123359,0,12949258240
1764123363,0,12949258240
1764123378,0,12949258240
1764123381,0,12949258240
1764123385,0,13154779136
1764123400,0,13154779136
1764123403,0,13154779136
1764123407,0,13154779136
1764123422,0,13154779136
1764123425,0,13154779136
1764123429,0,13154779136
1764123443,0,13154779136
1764123446,0,13154779136
1764123450,0,13154779136
1764123464,0,13154779136
1764123468,0,13154779136
1764123471,0,13154779136
1764123486,0,13154779136
1764123490,0,13154779136
1764123493,0,13154779136
1764123525,0,11967791104
1764123529,0,12173312000
1764123532,0,12179603456
1764123547,0,12179603456
1764123550,0,12179603456
1764123554,0,12179603456
1764123570,0,12179603456
1764123573,0,12179603456
1764123577,0,12179603456
1764123592,0,12179603456
1764123595,0,12179603456
1764123599,0,12179603456
1764123614,0,12179603456
1764123618,0,12179603456
1764123621,0,12179603456
1764123635,0,12185894912
1764123638,0,12185894912
1764123642,0,12185894912
1764123657,0,12185894912
1764123661,0,12185894912
