timestamp,small job 0,small job 1
1764139307,17179869184,0
1764139313,17179869184,0
1764139318,17179869184,0
1764139323,17179869184,0
1764139330,17179869184,0
1764139336,17179869184,0
1764139341,17179869184,0
1764139350,17179869184,0
1764139370,0,9392488448
1764139375,0,16478765056
1764139380,0,16478765056
1764139384,0,16478765056
1764139392,0,16478765056
1764139397,0,16478765056
1764139402,0,16478765056
1764139413,0,16501833728
1764139440,17179869184,0
1764139446,17179869184,0
1764139455,17179869184,0
1764139460,17179869184,0
1764139466,17179869184,0
1764139475,17179869184,0
1764139480,17179869184,0
1764139501,0,10946478080
1764139506,0,13970571264
1764139516,0,15224668160
1764139521,0,15224668160
1764139526,0,15224668160
1764139534,0,15224668160
1764139540,0,15224668160
1764139545,0,15224668160
1764139570,17179869184,0
1764139580,17179869184,0
1764139585,17179869184,0
1764139590,17179869184,0
1764139599,17179869184,0
1764139604,17179869184,0
1764139609,17179869184,0
1764139639,0,13551140864
1764139644,0,16839475200
1764139649,0,16839475200
1764139658,0,16839475200
1764139663,0,16839475200
1764139668,0,16839475200
1764139677,0,16839475200
1764139705,17179869184,0
1764139710,17179869184,0
1764139716,17179869184,0
1764139762,0,16793337856
1764139767,0,13802799104
