timestamp,small job,medium job
1764121874,0,8912240640
1764121878,0,11057627136
1764121881,0,11057627136
1764121884,0,11256856576
1764121893,0,11256856576
1764121897,0,11256856576
1764121900,0,11256856576
1764121914,0,11256856576
1764121917,0,11261050880
1764121921,0,11261050880
1764121959,9077915648,0
1764121964,15189016576,0
1764121969,12125077504,0
1764121974,12921995264,0
1764121981,12921995264,0
1764121987,16168386560,0
1764121992,13007978496,0
1764122000,13007978496,0
1764122006,13007978496,0
1764122011,16304701440,0
1764122019,16304701440,0
1764122040,0,9786753024
1764122043,0,12093620224
1764122047,0,12095717376
1764122061,0,12095717376
1764122064,0,12095717376
1764122068,0,12095717376
1764122081,0,12095717376
1764122085,0,12703891456
1764122088,0,12703891456
1764122129,15732178944,0
1764122135,16642342912,0
1764122144,12603228160,0
1764122149,15899951104,0
1764122154,15899951104,0
1764122163,15925116928,0
1764122168,15925116928,0
1764122173,15925116928,0
1764122183,15925116928,0
1764122211,0,12481593344
1764122214,0,12481593344
1764122218,0,12481593344
1764122233,0,12487884800
1764122237,0,12487884800
1764122240,0,12489981952
1764122255,0,12489981952
1764122258,0,12489981952
1764122262,0,12489981952
1764122294,10954866688,0
1764122299,12712280064,0
1764122308,15832842240,0
1764122313,15832842240,0
1764122317,15832842240,0
1764122373,0,12219449344
1764122376,0,12219449344
1764122380,0,12219449344
1764122394,0,12221546496
1764122398,0,12221546496
1764122401,0,12221546496
1764122416,0,12221546496
1764122419,0,12221546496
1764122423,0,12221546496
1764122465,0,12020219904
1764122468,0,12020219904
1764122472,0,12225740800
1764122485,0,12225740800
1764122488,0,12225740800
1764122492,0,12225740800
1764122507,0,12225740800
1764122510,0,12225740800
1764122513,0,12234129408
1764122557,0,12078940160
1764122560,0,12085231616
1764122564,0,12095717376
1764122577,0,12095717376
1764122581,0,12301238272
1764122585,0,12301238272
1764122599,0,12301238272
1764122602,0,12301238272
1764122605,0,12301238272
1764122648,0,12192186368
1764122652,0,12194283520
1764122655,0,12194283520
1764122670,0,12194283520
1764122673,0,12194283520
1764122677,0,12194283520
1764122691,0,12194283520
1764122695,0,12194283520
1764122698,0,12194283520
1764122737,0,12521439232
1764122741,0,12540313600
1764122744,0,12540313600
1764122759,0,12750028800
1764122763,0,12760514560
1764122766,0,12760514560
1764122781,0,12760514560
1764122785,0,12760514560
1764122788,0,12760514560
