timestamp,job_name,memory_usage,total_memory,working_time,total_running_time
1762904636,gpt2-small,40057290752,51539607552,120,120
1762904756,gpt2-large,15033057280,51539607552,120,120
1762904876,gpt2-small,43877253120,51539607552,120,240
